"","X","Date","Longitude_ac","Latitude_ac","Code","station","Longitude_BPV","Latitude_BPV","NewDate","distance"
"1014",1014,"2014-01-05 04:00:00",71.93853,-5.397083,27611,"PB13",71.94333,-5.26933,"2014-01-05",14.2313472817602
"1020",1020,"2014-01-05 05:00:00",71.9726833333333,-5.3343,27591,"PB11",71.944,-5.26933000036064,"2014-01-05",7.90039851015456
"1023",1023,"2014-01-05 05:00:00",71.93853,-5.397083,27611,"PB13",71.944,-5.26933000036064,"2014-01-05",14.2343168412997
"1026",1026,"2014-01-05 06:00:00",71.93853,-5.397083,27611,"PB13",71.94467,-5.26933,"2014-01-05",14.2376731999882
"1030",1030,"2014-01-05 06:00:00",71.9697666666667,-5.33015,27591,"PB10",71.94467,-5.26933,"2014-01-05",7.31966225085647
"1033",1033,"2014-01-05 07:00:00",71.93853,-5.397083,27611,"PB13",71.944335,-5.26933000009016,"2014-01-05",14.2359467071629
"1035",1035,"2014-01-05 07:00:00",71.9697666666667,-5.33015,27591,"PB10",71.944335,-5.26933000009016,"2014-01-05",7.33385475261977
"1036",1036,"2014-01-05 08:00:00",71.93853,-5.397083,27611,"PB13",71.944,-5.26933,"2014-01-05",14.2343168814096
"1038",1038,"2014-01-05 09:00:00",71.93853,-5.397083,27611,"PB13",71.9423350177802,-5.27600000294391,"2014-01-05",13.4854941800916
"1039",1039,"2014-01-05 10:00:00",71.9726833333333,-5.3343,27591,"PB11",71.94067,-5.28267,"2014-01-05",6.75456936424166
"1040",1040,"2014-01-05 10:00:00",71.93853,-5.397083,27611,"PB13",71.94067,-5.28267,"2014-01-05",12.738605708375
"1059",1059,"2014-01-05 11:00:00",71.9726833333333,-5.3343,27591,"PB11",71.9050059852677,-5.38533621703297,"2014-01-05",9.40959532105322
"1063",1063,"2014-01-05 11:00:00",71.93853,-5.397083,27611,"PB13",71.9050059852677,-5.38533621703297,"2014-01-05",3.93876849804004
"1067",1067,"2014-01-05 12:00:00",71.93853,-5.397083,27611,"PB13",71.86933,-5.488,"2014-01-05",12.6979688640569
"1986",1986,"2014-01-17 11:00:00",71.7342166666667,-5.28153333333333,27603,"PB01",71.7469901450415,-5.1636676945219,"2014-01-17",13.1969336180593
"1987",1987,"2014-01-17 11:00:00",71.6748333333333,-5.2662,13576,"BE02",71.7469901450415,-5.1636676945219,"2014-01-17",13.9378337256961
"2000",2000,"2014-01-17 12:00:00",71.6748333333333,-5.2662,13576,"BE02",71.80333,-5.27533,"2014-01-17",14.2799157857968
"2001",2001,"2014-01-17 12:00:00",71.7342166666667,-5.28153333333333,27603,"PB01",71.80333,-5.27533,"2014-01-17",7.69209515932684
"2002",2002,"2014-01-17 12:00:00",71.6546833333333,-5.25671666666667,27604,"BE01",71.80333,-5.27533,"2014-01-17",16.6071976468014
"2012",2012,"2014-01-17 13:00:00",71.7342166666667,-5.28153333333333,27603,"PB01",71.8463213346743,-5.39833176974344,"2014-01-17",17.9843800808047
"2017",2017,"2014-01-17 13:00:00",71.93853,-5.397083,27611,"PB13",71.8463213346743,-5.39833176974344,"2014-01-17",10.220051340271
"2024",2024,"2014-01-17 13:00:00",71.8293833333333,-5.44061666666667,34176,"PB17",71.8463213346743,-5.39833176974344,"2014-01-17",5.0676043020342
"2030",2030,"2014-01-17 14:00:00",71.93853,-5.397083,27611,"PB13",71.88933,-5.52133,"2014-01-17",14.8669035994711
"2512",2512,"2014-01-25 03:00:00",71.93853,-5.397083,27611,"PB13",71.7916702404265,-5.44100043933095,"2014-01-25",16.9937043339873
"2515",2515,"2014-01-25 04:00:00",71.93853,-5.397083,27611,"PB13",71.76867,-5.44733,"2014-01-25",19.6375763450781
"2517",2517,"2014-01-25 05:00:00",71.93853,-5.397083,27611,"PB13",71.76867,-5.44766500000186,"2014-01-25",19.6482259299128
"2518",2518,"2014-01-25 06:00:00",71.93853,-5.397083,27611,"PB13",71.76867,-5.448,"2014-01-25",19.6589404865925
"2525",2525,"2014-01-25 07:00:00",71.93853,-5.397083,27611,"PB13",71.8113368488445,-5.42166651560257,"2014-01-25",14.3592097972524
"2529",2529,"2014-01-25 08:00:00",71.93853,-5.397083,27611,"PB13",71.854,-5.39533,"2014-01-25",9.37016651648457
"2538",2538,"2014-01-25 09:00:00",71.93853,-5.397083,27611,"PB13",71.8890036800518,-5.33033106389554,"2014-01-25",9.23834025890726
"2543",2543,"2014-01-25 10:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-25",14.7548315549203
"2547",2547,"2014-01-25 11:00:00",71.93853,-5.397083,27611,"PB13",71.9236650001793,-5.26566500009189,"2014-01-25",14.7218720804302
"2552",2552,"2014-01-25 12:00:00",71.93853,-5.397083,27611,"PB13",71.92333,-5.266,"2014-01-25",14.6890272059042
"2555",2555,"2014-01-25 13:00:00",71.93853,-5.397083,27611,"PB13",71.923665,-5.2660000000901,"2014-01-25",14.6848148737295
"2558",2558,"2014-01-25 14:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.266,"2014-01-25",14.6806952647581
"2559",2559,"2014-01-25 15:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.2656650000018,"2014-01-25",14.7177628440602
"2560",2560,"2014-01-25 15:00:00",71.9745666666667,-5.37878333333333,27591,"PB12",71.924,-5.2656650000018,"2014-01-25",13.7832884941611
"2564",2564,"2014-01-25 16:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-25",14.7548315549203
"2570",2570,"2014-01-25 17:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-25",14.7548315549203
"2574",2574,"2014-01-25 18:00:00",71.9726833333333,-5.3343,27591,"PB11",71.924,-5.26533,"2014-01-25",9.38437650208077
"2579",2579,"2014-01-25 19:00:00",71.9726833333333,-5.3343,27591,"PB11",71.924,-5.26533,"2014-01-25",9.38437650208077
"2581",2581,"2014-01-25 21:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-25",14.7548315549203
"2582",2582,"2014-01-25 22:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-25",14.7548315549203
"2585",2585,"2014-01-25 23:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-25",14.7548315549203
"2590",2590,"2014-01-26 08:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-26",14.7548315549203
"2592",2592,"2014-01-26 09:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-26",14.7548315549203
"2595",2595,"2014-01-26 10:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-26",14.7548315549203
"2601",2601,"2014-01-26 11:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.2656650000018,"2014-01-26",14.7177628440602
"2608",2608,"2014-01-26 12:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.266,"2014-01-26",14.6806952647581
"2616",2616,"2014-01-26 14:00:00",71.93853,-5.397083,27611,"PB13",71.924,-5.26533,"2014-01-26",14.7548315549203
"3147",3147,"2014-02-04 04:00:00",71.93853,-5.397083,27611,"PB13",71.80733,-5.44333,"2014-02-04",15.4243335672464
"3149",3149,"2014-02-04 06:00:00",71.93853,-5.397083,27611,"PB13",71.768,-5.44667,"2014-02-04",19.6880467970846
"3150",3150,"2014-02-04 07:00:00",71.93853,-5.397083,27611,"PB13",71.8286732287746,-5.36333812203756,"2014-02-04",12.7416445908696
"3158",3158,"2014-02-04 08:00:00",71.93853,-5.397083,27611,"PB13",71.88933,-5.28,"2014-02-04",14.1284190845331
"3162",3162,"2014-02-04 09:00:00",71.9726833333333,-5.3343,27591,"PB11",71.8813302487476,-5.29933505773149,"2014-02-04",10.84795542369
"3163",3163,"2014-02-04 09:00:00",71.93853,-5.397083,27611,"PB13",71.8813302487476,-5.29933505773149,"2014-02-04",12.5934018073026
"3164",3164,"2014-02-04 11:00:00",71.93853,-5.397083,27611,"PB13",71.8973249757947,-5.44533574366309,"2014-02-04",7.05016015870711
"3166",3166,"2014-02-04 12:00:00",71.8293833333333,-5.44061666666667,27598,"PB17",71.92133,-5.572,"2014-02-04",17.8243071936072
"3167",3167,"2014-02-04 12:00:00",71.93853,-5.397083,27611,"PB13",71.92133,-5.572,"2014-02-04",19.5647278543493
"3239",3239,"2014-02-11 04:00:00",72.25688,-5.2985,34179,"SA03",72.19333,-5.338,"2014-02-11",8.30368561991572
"3432",3432,"2014-02-21 07:00:00",72.24793,-5.31183,27611,"SA01",72.25,-5.31867,"2014-02-21",0.79524304522233
"3441",3441,"2014-02-21 09:00:00",72.25688,-5.2985,27584,"SA03",72.142,-5.20067,"2014-02-21",16.7563172776994
"3912",3912,"2014-03-01 11:00:00",71.93853,-5.397083,34179,"PB13",71.77133,-5.44533,"2014-03-01",19.2920509344253
"3932",3932,"2014-03-01 16:00:00",71.93853,-5.397083,27611,"PB13",71.7689999998173,-5.44633500009225,"2014-03-01",19.5712202034885
"3971",3971,"2014-03-02 02:00:00",71.93853,-5.397083,34179,"PB13",71.769665,-5.44733000009317,"2014-03-02",19.5319019787508
"3974",3974,"2014-03-02 03:00:00",71.93853,-5.397083,34179,"PB13",71.77,-5.44733,"2014-03-02",19.4963346150165
"3979",3979,"2014-03-02 10:00:00",71.9697666666667,-5.33015,27591,"PB10",71.806,-5.26500000000174,"2014-03-02",19.5477210841462
"3985",3985,"2014-03-02 13:00:00",71.6748333333333,-5.2662,34177,"BE02",71.806,-5.266,"2014-03-02",14.539794066549
"3987",3987,"2014-03-02 14:00:00",71.9697666666667,-5.33015,27591,"PB10",71.806,-5.266,"2014-03-02",19.5066803414644
"3988",3988,"2014-03-02 15:00:00",71.9697666666667,-5.33015,27591,"PB10",71.806,-5.266,"2014-03-02",19.5066803414644
"3994",3994,"2014-03-02 15:00:00",71.6748333333333,-5.2662,13576,"BE02",71.806,-5.266,"2014-03-02",14.539794066549
"3995",3995,"2014-03-02 17:00:00",71.6748333333333,-5.2662,13576,"BE02",71.806,-5.266,"2014-03-02",14.539794066549
"3996",3996,"2014-03-02 17:00:00",71.9697666666667,-5.33015,27591,"PB10",71.806,-5.266,"2014-03-02",19.5066803414644
"4000",4000,"2014-03-02 18:00:00",71.9697666666667,-5.33015,27591,"PB10",71.806,-5.266,"2014-03-02",19.5066803414644
"4010",4010,"2014-03-02 19:00:00",71.9697666666667,-5.33015,27591,"PB10",71.806,-5.266,"2014-03-02",19.5066803414644
"4012",4012,"2014-03-02 19:00:00",71.6748333333333,-5.2662,13576,"BE02",71.806,-5.266,"2014-03-02",14.539794066549
"4013",4013,"2014-03-02 20:00:00",71.9697666666667,-5.33015,27591,"PB10",71.8063350001793,-5.26566500009189,"2014-03-02",19.4858418861525
"4025",4025,"2014-03-02 21:00:00",71.9697666666667,-5.33015,27591,"PB10",71.80667,-5.26533,"2014-03-02",19.4651234113642
"4042",4042,"2014-03-02 22:00:00",71.7342166666667,-5.28153333333333,27604,"PB01",71.80667,-5.2656650000018,"2014-03-02",8.22329621041975
"4043",4043,"2014-03-02 23:00:00",71.9697666666667,-5.33015,27591,"PB10",71.80667,-5.266,"2014-03-02",19.4375894004717
"4048",4048,"2014-03-02 23:00:00",71.7342166666667,-5.28153333333333,27604,"PB01",71.80667,-5.266,"2014-03-02",8.21536408755125
"4054",4054,"2014-03-03 01:00:00",71.6748333333333,-5.2662,13576,"BE02",71.80667,-5.266,"2014-03-03",14.6140632345694
"4059",4059,"2014-03-03 05:00:00",71.7342166666667,-5.28153333333333,27603,"PB01",71.806,-5.26467,"2014-03-03",8.17550330865042
"4071",4071,"2014-03-03 06:00:00",71.9697666666667,-5.33015,27591,"PB10",71.8756645176972,-5.26900389903612,"2014-03-03",12.4551121933627
"4074",4074,"2014-03-03 06:00:00",71.7342166666667,-5.28153333333333,27603,"PB01",71.8756645176972,-5.26900389903612,"2014-03-03",15.7411258568
"4105",4105,"2014-03-03 13:00:00",72.25688,-5.2985,13577,"SA03",72.25,-5.32,"2014-03-03",2.51192413112702
"4124",4124,"2014-03-03 20:00:00",72.25688,-5.2985,13577,"SA03",72.25,-5.31966500000182,"2014-03-03",2.47641811163334
"4128",4128,"2014-03-03 21:00:00",72.25688,-5.2985,13577,"SA03",72.25,-5.31933,"2014-03-03",2.44096535737069
"4334",4334,"2014-03-11 09:00:00",71.9726833333333,-5.3343,27591,"PB11",71.838,-5.27,"2014-03-11",16.5560159128522
"4336",4336,"2014-03-11 10:00:00",71.9726833333333,-5.3343,27591,"PB11",71.8913334594554,-5.28800229852961,"2014-03-11",10.3859217098699
"4339",4339,"2014-03-11 11:00:00",71.9697666666667,-5.33015,27591,"PB10",71.94467,-5.306,"2014-03-11",3.86849983807734
"4523",4523,"2014-03-26 13:00:00",72.24754,-5.30114,13577,"SAUWM01",72.236,-5.334,"2014-03-26",3.87514561602091
"4525",4525,"2014-03-26 13:00:00",72.2116,-5.3686,12964,"SA06",72.236,-5.334,"2014-03-26",4.70625020980415
"4530",4530,"2014-03-26 15:00:00",72.24754,-5.30114,27611,"SAUWM01",72.236,-5.33467,"2014-03-26",3.94562610479853
"4531",4531,"2014-03-26 15:00:00",72.241,-5.3056,27584,"SA02",72.236,-5.33467,"2014-03-26",3.28317023578671
"4533",4533,"2014-03-26 16:00:00",72.24754,-5.30114,27611,"SAUWM01",72.236,-5.33467,"2014-03-26",3.94562610479853
"4534",4534,"2014-03-26 16:00:00",72.2569,-5.2985,25553,"SA03",72.236,-5.33467,"2014-03-26",4.64527671529699
"4536",4536,"2014-03-26 16:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33467,"2014-03-26",4.64540652110343
"4539",4539,"2014-03-26 17:00:00",72.2569,-5.2985,13577,"SA03",72.236,-5.33467,"2014-03-26",4.64527671529699
"4541",4541,"2014-03-26 18:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33467,"2014-03-26",3.28317023578671
"4542",4542,"2014-03-26 18:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33467,"2014-03-26",4.64540652110343
"4543",4543,"2014-03-26 19:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33467,"2014-03-26",4.64540652110343
"4544",4544,"2014-03-26 19:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33467,"2014-03-26",3.28317023578671
"4548",4548,"2014-03-26 20:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33467,"2014-03-26",4.64540652110343
"4550",4550,"2014-03-26 21:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33467,"2014-03-26",4.64540652110343
"4551",4551,"2014-03-26 22:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33467,"2014-03-26",4.64540652110343
"4552",4552,"2014-03-26 23:00:00",72.24754,-5.30114,27611,"SAUWM01",72.236,-5.33467,"2014-03-26",3.94562610479853
"4553",4553,"2014-03-26 23:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33467,"2014-03-26",4.64540652110343
"4554",4554,"2014-03-27 01:00:00",72.24793,-5.31183,27611,"SA01",72.236,-5.33467,"2014-03-27",2.86583490503704
"4555",4555,"2014-03-27 01:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33467,"2014-03-27",4.64540652110343
"4556",4556,"2014-03-27 02:00:00",72.24754,-5.30114,25553,"SAUWM01",72.236,-5.33467,"2014-03-27",3.94562610479853
"4558",4558,"2014-03-27 02:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33467,"2014-03-27",4.64540652110343
"4561",4561,"2014-03-27 03:00:00",72.2116,-5.3686,25552,"SA06",72.236,-5.33467,"2014-03-27",4.64540652110343
"4563",4563,"2014-03-27 03:00:00",72.24793,-5.31183,27611,"SA01",72.236,-5.33467,"2014-03-27",2.86583490503704
"4564",4564,"2014-03-27 03:00:00",72.2569,-5.2985,13577,"SA03",72.236,-5.33467,"2014-03-27",4.64527671529699
"4570",4570,"2014-03-27 03:00:00",72.24754,-5.30114,25553,"SAUWM01",72.236,-5.33467,"2014-03-27",3.94562610479853
"4572",4572,"2014-03-27 03:00:00",72.2116,-5.3686,12966,"SA06",72.236,-5.33467,"2014-03-27",4.64540652110343
"4577",4577,"2014-03-27 03:00:00",72.2116,-5.3686,12964,"SA06",72.236,-5.33467,"2014-03-27",4.64540652110343
"4587",4587,"2014-03-27 04:00:00",72.2116,-5.3686,25544,"SA06",72.236,-5.33467,"2014-03-27",4.64540652110343
"4588",4588,"2014-03-27 04:00:00",72.2116,-5.3686,25552,"SA06",72.236,-5.33467,"2014-03-27",4.64540652110343
"4590",4590,"2014-03-27 04:00:00",72.24754,-5.30114,25553,"SAUWM01",72.236,-5.33467,"2014-03-27",3.94562610479853
"4591",4591,"2014-03-27 04:00:00",72.2569,-5.2985,13577,"SA03",72.236,-5.33467,"2014-03-27",4.64527671529699
"4592",4592,"2014-03-27 04:00:00",72.24793,-5.31183,27611,"SA01",72.236,-5.33467,"2014-03-27",2.86583490503704
"4601",4601,"2014-03-27 04:00:00",72.2116,-5.3686,25548,"SA06",72.236,-5.33467,"2014-03-27",4.64540652110343
"4625",4625,"2014-03-27 05:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33467,"2014-03-27",3.28317023578671
"4626",4626,"2014-03-27 05:00:00",72.2116,-5.3686,25547,"SA06",72.236,-5.33467,"2014-03-27",4.64540652110343
"4627",4627,"2014-03-27 06:00:00",72.241,-5.3056,27611,"SA02",72.235665,-5.33467000009126,"2014-03-27",3.28964162301279
"4629",4629,"2014-03-27 07:00:00",72.241,-5.3056,27611,"SA02",72.23533,-5.33467,"2014-03-27",3.29651855238462
"4633",4633,"2014-03-27 08:00:00",72.2116,-5.3686,25548,"SA06",72.235665,-5.33467000009126,"2014-03-27",4.62388988147717
"4634",4634,"2014-03-27 08:00:00",72.241,-5.3056,27611,"SA02",72.235665,-5.33467000009126,"2014-03-27",3.28964162301279
"4642",4642,"2014-03-27 10:00:00",72.24754,-5.30114,27611,"SAUWM01",72.236,-5.33467,"2014-03-27",3.94562610479853
"4644",4644,"2014-03-27 11:00:00",72.2569,-5.2985,13577,"SA03",72.236,-5.33467,"2014-03-27",4.64527671529699
"4645",4645,"2014-03-27 11:00:00",72.2569,-5.2985,25553,"SA03",72.236,-5.33467,"2014-03-27",4.64527671529699
"4650",4650,"2014-03-27 11:00:00",72.24754,-5.30114,27611,"SAUWM01",72.236,-5.33467,"2014-03-27",3.94562610479853
"4656",4656,"2014-03-27 12:00:00",72.1981,-5.3502,25551,"SA05",72.236,-5.33467,"2014-03-27",4.54251538019758
"4658",4658,"2014-03-27 12:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33467,"2014-03-27",3.28317023578671
"4663",4663,"2014-03-27 13:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33467,"2014-03-27",3.28317023578671
"4664",4664,"2014-03-27 14:00:00",72.2569,-5.2985,25553,"SA03",72.236,-5.33467,"2014-03-27",4.64527671529699
"4666",4666,"2014-03-27 14:00:00",72.24754,-5.30114,27611,"SAUWM01",72.236,-5.33467,"2014-03-27",3.94562610479853
"4668",4668,"2014-03-27 15:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33467,"2014-03-27",3.28317023578671
"4670",4670,"2014-03-27 16:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33500000000177,"2014-03-27",3.31938429354105
"4674",4674,"2014-03-27 17:00:00",72.2569,-5.2985,13577,"SA03",72.236,-5.33533,"2014-03-27",4.70910161272649
"4678",4678,"2014-03-27 18:00:00",72.2569,-5.2985,13577,"SA03",72.236,-5.33533,"2014-03-27",4.70910161272649
"4680",4680,"2014-03-27 18:00:00",72.24754,-5.30114,27611,"SAUWM01",72.236,-5.33533,"2014-03-27",4.01519960325885
"4690",4690,"2014-03-27 21:00:00",72.2569,-5.2985,13577,"SA03",72.236,-5.33533,"2014-03-27",4.70910161272649
"4696",4696,"2014-03-27 22:00:00",72.2116,-5.3686,12962,"SA06",72.236,-5.33500000000177,"2014-03-27",4.61558692450757
"4701",4701,"2014-03-27 22:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33500000000177,"2014-03-27",3.31938429354105
"4706",4706,"2014-03-28 01:00:00",72.241,-5.3056,27584,"SA02",72.236,-5.33467,"2014-03-28",3.28317023578671
"4708",4708,"2014-03-28 02:00:00",72.241,-5.3056,27584,"SA02",72.236,-5.33500000000177,"2014-03-28",3.31938429354105
"4709",4709,"2014-03-28 02:00:00",72.24754,-5.30114,25553,"SAUWM01",72.236,-5.33500000000177,"2014-03-28",3.98039534668293
"4711",4711,"2014-03-28 02:00:00",72.2116,-5.3686,25552,"SA06",72.236,-5.33500000000177,"2014-03-28",4.61558692450757
"4713",4713,"2014-03-28 05:00:00",72.2116,-5.3686,12964,"SA06",72.236,-5.33533,"2014-03-28",4.58586769935018
"4714",4714,"2014-03-28 06:00:00",72.2569,-5.2985,25553,"SA03",72.236,-5.33500000000177,"2014-03-28",4.67715377018387
"4717",4717,"2014-03-28 06:00:00",72.2116,-5.3686,12950,"SA06",72.236,-5.33500000000177,"2014-03-28",4.61558692450757
"4718",4718,"2014-03-28 06:00:00",72.2116,-5.3686,12964,"SA06",72.236,-5.33500000000177,"2014-03-28",4.61558692450757
"4725",4725,"2014-03-28 07:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33467,"2014-03-28",3.28317023578671
"4727",4727,"2014-03-28 07:00:00",72.2569,-5.2985,25553,"SA03",72.236,-5.33467,"2014-03-28",4.64527671529699
"4735",4735,"2014-03-28 08:00:00",72.2116,-5.3686,12964,"SA06",72.236,-5.33467,"2014-03-28",4.64540652110343
"4736",4736,"2014-03-28 08:00:00",72.241,-5.3056,27611,"SA02",72.236,-5.33467,"2014-03-28",3.28317023578671
"4738",4738,"2014-03-28 09:00:00",72.2569,-5.2985,13577,"SA03",72.236,-5.33467,"2014-03-28",4.64527671529699
"4740",4740,"2014-03-28 09:00:00",72.241,-5.3056,27584,"SA02",72.236,-5.33467,"2014-03-28",3.28317023578671
"4745",4745,"2014-03-28 11:00:00",72.2569,-5.2985,25553,"SA03",72.236,-5.33533,"2014-03-28",4.70910161272649
"4750",4750,"2014-03-28 11:00:00",72.241,-5.3056,27584,"SA02",72.236,-5.33533,"2014-03-28",3.35560968540243
