"","X","Date","Longitude_sat","Latitude_sat","Code","station","Longitude_BPV","Latitude_BPV","NewDate","distance"
"261",261,"2014-04-09 05:00:00",71.375,-6.325,135895,"GPS",71.344,-6.19067,"2014-04-09",15.3419629825314
"269",269,"2014-04-09 09:00:00",71.375,-6.125,135895,"GPS",71.344,-6.19133,"2014-04-09",8.14202226754042
"273",273,"2014-04-09 11:00:00",71.375,-6.125,135895,"GPS",71.344,-6.19133,"2014-04-09",8.14202226754042
"277",277,"2014-04-09 13:00:00",71.375,-6.125,135895,"GPS",71.344,-6.19133,"2014-04-09",8.14202226754042
"291",291,"2014-04-09 23:00:00",71.375,-6.125,135895,"GPS",71.34333,-6.19067,"2014-04-09",8.10723677880868
"293",293,"2014-04-10 03:00:00",71.375,-6.125,135895,"GPS",71.342,-6.19067,"2014-04-10",8.17195668756829
"301",301,"2014-04-10 05:00:00",71.375,-6.125,135895,"GPS",71.3426649991682,-6.19133500042484,"2014-04-10",8.20587984359458
"794",794,"2014-06-16 12:00:00",72.1,-7.275,135869,"GPS",72.048,-7.25867,"2014-06-16",6.02299711100783
"1410",1410,"2015-03-31 13:00:00",72.3,-5.325,147089,"GPS",72.236,-5.33633500000182,"2015-03-31",7.20498549225833
"1412",1412,"2015-04-01 01:00:00",72.2,-5.5,147089,"GPS",72.235665,-5.3366700000913,"2015-04-01",18.6064594387754
"1416",1416,"2015-04-01 13:00:00",72.125,-5.225,147089,"GPS",72.236,-5.33667,"2015-04-01",17.4905616330226
"2749",2749,"2018-03-26 05:00:00",72.375,-5.375,144157,"GPS",72.24616667,-5.293883333,"2018-03-26",16.8950857360395
"2782",2782,"2018-03-27 03:00:00",72.375,-5.375,144157,"GPS",72.21511667,-5.3155,"2018-03-27",18.9181211345944
"2786",2786,"2018-03-27 12:00:00",72.375,-5.375,144157,"GPS",72.21293333,-5.3169,"2018-03-27",19.091606451223
"2801",2801,"2018-03-28 00:00:00",72.375,-5.375,144157,"GPS",72.20583333,-5.3172,"2018-03-28",19.8229275053372
"2812",2812,"2018-03-28 01:00:00",72.375,-5.375,144157,"GPS",72.20571667,-5.317283333,"2018-03-28",19.8321494349946
"2831",2831,"2018-03-28 12:00:00",72.375,-5.375,144157,"GPS",72.42658333,-5.233733333,"2018-03-28",16.7329046539492
"2848",2848,"2018-03-29 00:00:00",72.375,-5.375,144157,"GPS",72.21781667,-5.312483333,"2018-03-29",18.7601065764906
"2863",2863,"2018-03-29 11:00:00",72.375,-5.375,144157,"GPS",72.42958333,-5.235416667,"2018-03-29",16.6746699137684
"2865",2865,"2018-03-29 12:00:00",72.375,-5.375,144157,"GPS",72.42963333,-5.235533333,"2018-03-29",16.6645813487131
"2882",2882,"2018-03-30 00:00:00",72.375,-5.375,144157,"GPS",72.42735,-5.235416667,"2018-03-30",16.5864548973587
"2897",2897,"2018-03-30 01:00:00",72.375,-5.375,144157,"GPS",72.42723333,-5.2353,"2018-03-30",16.5941059464185
"2913",2913,"2018-03-30 12:00:00",72.375,-5.375,144157,"GPS",72.42876667,-5.223483333,"2018-03-30",17.8886980406647
"2932",2932,"2018-03-31 00:00:00",72.375,-5.375,144157,"GPS",72.42386667,-5.232383333,"2018-03-31",16.7745812048216
"2944",2944,"2018-03-31 07:00:00",72.375,-5.375,144157,"GPS",72.24146667,-5.288166667,"2018-03-31",17.6774585292159
"2955",2955,"2018-03-31 12:00:00",72.375,-5.375,144157,"GPS",72.24748333,-5.277983333,"2018-03-31",17.7876585379868
"2973",2973,"2018-04-01 00:00:00",72.375,-5.375,144157,"GPS",72.21951667,-5.313466667,"2018-04-01",18.5445373196105
"3413",3413,"2018-04-15 03:00:00",72.375,-5.375,144157,"GPS",72.39395,-5.27655,"2018-04-15",11.1588624223483
"3451",3451,"2018-04-16 06:00:00",72.375,-5.375,144157,"GPS",72.31865,-5.2544,"2018-04-16",14.8069316115058
"3452",3452,"2018-04-16 12:00:00",72.375,-5.375,144157,"GPS",72.33215,-5.255533333,"2018-04-16",14.1216357621819
"3469",3469,"2018-04-17 00:00:00",72.375,-5.375,144157,"GPS",72.38411667,-5.27405,"2018-04-17",11.2830423828219
"3488",3488,"2018-04-17 12:00:00",72.15,-5.825,144161,"GPS",72.13595,-5.75475,"2018-04-17",7.97350388414977
"3506",3506,"2018-04-18 00:00:00",72.375,-5.375,144157,"GPS",72.29205,-5.261833333,"2018-04-18",15.5959679501608
"3513",3513,"2018-04-18 01:00:00",72.375,-5.375,144157,"GPS",72.30286667,-5.258783333,"2018-04-18",15.2083986738351
"3724",3724,"2018-04-24 02:00:00",72.375,-5.375,144157,"GPS",72.24685,-5.286683333,"2018-04-24",17.2744401037191
"3763",3763,"2018-04-25 12:00:00",72.375,-5.375,144157,"GPS",72.23493333,-5.2886,"2018-04-25",18.2625818484138
"3780",3780,"2018-04-26 00:00:00",72.375,-5.375,144157,"GPS",72.24633333,-5.287233333,"2018-04-26",17.2868759864327
