Ptt,Date,Most Likely Latitude,Most Likely Longitude
135869,26/03/2014 00:00,-7.55,72.45
135869,26/03/2014 00:37,-7.55,72.45
135869,26/03/2014 12:00,-7.45,72.7
135869,26/03/2014 13:02,-7.45,72.725
135869,27/03/2014 00:00,-7.475,72.775
135869,27/03/2014 12:00,-7.5,72.8
135869,27/03/2014 13:01,-7.5,72.8
135869,28/03/2014 00:00,-7.475,72.475
135869,28/03/2014 00:30,-7.475,72.475
135869,28/03/2014 00:36,-7.475,72.475
135869,28/03/2014 12:00,-7.5,72.5
135869,28/03/2014 13:06,-7.5,72.5
135869,29/03/2014 00:00,-7.5,72.35
135869,29/03/2014 00:48,-7.5,72.35
135869,29/03/2014 12:00,-7.425,72.225
135869,29/03/2014 13:00,-7.425,72.2
135869,30/03/2014 00:00,-7.375,72.175
135869,30/03/2014 00:38,-7.375,72.175
135869,30/03/2014 12:00,-7.4,72.175
135869,30/03/2014 12:42,-7.4,72.175
135869,31/03/2014 00:00,-7.45,72.225
135869,31/03/2014 00:42,-7.45,72.225
135869,31/03/2014 07:00,-7.475,72.325
135869,31/03/2014 12:00,-7.475,72.425
135869,31/03/2014 12:32,-7.475,72.425
135869,01/04/2014 00:00,-7.4,72.375
135869,01/04/2014 00:42,-7.4,72.375
135869,01/04/2014 12:00,-7.325,72.4
135869,01/04/2014 12:46,-7.325,72.4
135869,02/04/2014 00:00,-7.25,72.525
135869,02/04/2014 00:50,-7.25,72.525
135869,02/04/2014 12:00,-7.25,71.9
135869,02/04/2014 12:48,-7.25,71.9
135869,03/04/2014 00:00,-7.725,71.925
135869,03/04/2014 00:53,-7.725,71.925
135869,03/04/2014 12:00,-7.3,71.95
135869,03/04/2014 13:08,-7.325,71.95
135869,04/04/2014 00:00,-7.425,71.95
135869,04/04/2014 00:37,-7.425,71.95
135869,04/04/2014 12:00,-7.45,71.95
135869,04/04/2014 12:43,-7.45,71.95
135869,05/04/2014 00:00,-7.425,71.95
135869,05/04/2014 00:48,-7.425,71.95
135869,05/04/2014 12:00,-7.45,72.025
135869,05/04/2014 12:55,-7.45,72.025
135869,06/04/2014 00:00,-7.575,72.1
135869,06/04/2014 00:26,-7.575,72.1
135869,06/04/2014 12:00,-7.5,72.1
135869,06/04/2014 12:56,-7.5,72.1
135869,07/04/2014 00:00,-7.55,72.1
135869,07/04/2014 00:41,-7.575,72.075
135869,07/04/2014 03:00,-7.6,72.1
135869,07/04/2014 12:00,-7.525,72.075
135869,07/04/2014 12:47,-7.525,72.075
135869,08/04/2014 00:00,-7.5,72.075
135869,08/04/2014 00:36,-7.5,72.075
135869,08/04/2014 12:00,-7.5,72.1
135869,08/04/2014 12:50,-7.5,72.1
135869,09/04/2014 00:00,-7.45,72.1
135869,09/04/2014 00:48,-7.45,72.1
135869,09/04/2014 12:00,-7.4,72.125
135869,09/04/2014 13:11,-7.4,72.125
135869,10/04/2014 00:00,-7.3,72.15
135869,10/04/2014 00:00,-7.3,72.15
135869,10/04/2014 00:50,-7.3,72.15
135869,10/04/2014 12:00,-7.325,72.175
135869,10/04/2014 12:50,-7.325,72.175
135869,11/04/2014 00:00,-7.325,72.225
135869,11/04/2014 00:50,-7.325,72.225
135869,11/04/2014 12:00,-7.275,72.3
135869,11/04/2014 12:51,-7.275,72.3
135869,12/04/2014 00:00,-7.15,72.325
135869,12/04/2014 00:00,-7.15,72.325
135869,12/04/2014 00:46,-7.15,72.325
135869,12/04/2014 12:00,-7.175,72.35
135869,12/04/2014 12:53,-7.175,72.35
135869,13/04/2014 00:00,-7.15,72.35
135869,13/04/2014 00:00,-7.15,72.35
135869,13/04/2014 00:47,-7.15,72.35
135869,13/04/2014 12:00,-7.15,72.25
135869,13/04/2014 12:47,-7.15,72.25
135869,14/04/2014 00:00,-7.175,72.3
135869,14/04/2014 00:53,-7.175,72.3
135869,14/04/2014 07:00,-7.125,72.35
135869,14/04/2014 12:00,-7.175,72.35
135869,14/04/2014 13:01,-7.175,72.375
135869,15/04/2014 00:00,-7.175,72.35
135869,15/04/2014 00:50,-7.175,72.35
135869,15/04/2014 07:00,-7.15,72.35
135869,15/04/2014 12:00,-7.2,72.375
135869,15/04/2014 12:41,-7.2,72.375
135869,16/04/2014 00:00,-7.35,72.375
135869,16/04/2014 00:00,-7.35,72.375
135869,16/04/2014 00:51,-7.35,72.375
135869,16/04/2014 12:00,-7.35,72.375
135869,16/04/2014 12:47,-7.35,72.375
135869,17/04/2014 00:00,-7.35,72.375
135869,17/04/2014 00:00,-7.35,72.375
